time	V(n012)	V(n015)	I(L1)
5.000095786658330e-006	2.112988e+001	5.520550e-002	-1.859061e-001
5.000205257124992e-006	2.114066e+001	1.100564e-001	-1.859634e-001
5.000424198058317e-006	2.116224e+001	2.231035e-001	-1.860777e-001
5.000862079924966e-006	2.120551e+001	4.621762e-001	-1.863055e-001
5.001737843658265e-006	2.129235e+001	9.830450e-001	-1.867586e-001
5.003036802483496e-006	2.142187e+001	1.849547e+000	-1.874242e-001
5.004946656075886e-006	2.161349e+001	3.306227e+000	-1.883892e-001
5.007510939997066e-006	2.187234e+001	5.487401e+000	-1.896663e-001
5.008421546094472e-006	2.196457e+001	6.326238e+000	-1.901140e-001
5.008966802203065e-006	2.200298e+001	6.854267e+000	-1.903799e-001
5.009275022520871e-006	2.189860e+001	7.158063e+000	-1.905305e-001
5.009437299714114e-006	2.169798e+001	7.319023e+000	-1.906107e-001
5.009568105833613e-006	2.138885e+001	7.448626e+000	-1.906769e-001
5.009730431104478e-006	2.074401e+001	7.608725e+000	-1.907618e-001
5.009812784766999e-006	2.028190e+001	7.689495e+000	-1.908063e-001
5.009835292674958e-006	2.013739e+001	7.711438e+000	-1.908188e-001
5.009880308490875e-006	1.982321e+001	7.755133e+000	-1.908444e-001
5.009909968368165e-006	1.959719e+001	7.783818e+000	-1.908615e-001
5.009940680245420e-006	1.934661e+001	7.813366e+000	-1.908796e-001
5.010000000000000e-006	1.881314e+001	7.870203e+000	-1.909153e-001
5.010005931975458e-006	1.875583e+001	7.872959e+000	-1.909189e-001
5.010017795926374e-006	1.863979e+001	7.878444e+000	-1.909263e-001
5.010041523828206e-006	1.839945e+001	7.889286e+000	-1.909413e-001
5.010088979631870e-006	1.788570e+001	7.910415e+000	-1.909721e-001
5.010183891239198e-006	1.672540e+001	7.950066e+000	-1.910382e-001
5.010373714453854e-006	1.390688e+001	8.018867e+000	-1.911859e-001
5.010587846913933e-006	1.015184e+001	8.076422e+000	-1.913746e-001
5.010720716496784e-006	7.753238e+000	8.090308e+000	-1.915067e-001
5.010834623506493e-006	5.876413e+000	8.077390e+000	-1.916311e-001
5.010941233854410e-006	4.396009e+000	8.046948e+000	-1.917548e-001
5.011022133128968e-006	3.458362e+000	8.019367e+000	-1.918529e-001
5.011114817477322e-006	2.545702e+000	7.991869e+000	-1.919692e-001
5.011234147583946e-006	1.564464e+000	7.968647e+000	-1.921233e-001
5.011348239376615e-006	8.395186e-001	7.964231e+000	-1.922740e-001
5.011425277548802e-006	5.104940e-001	7.976517e+000	-1.923775e-001
5.011516728528769e-006	2.804088e-001	8.004658e+000	-1.925016e-001
5.011586694055632e-006	1.795960e-001	8.030844e+000	-1.925970e-001
5.011642806335474e-006	1.270642e-001	8.053839e+000	-1.926738e-001
5.011710684552699e-006	8.460517e-002	8.082832e+000	-1.927667e-001
5.011773242859859e-006	5.939755e-002	8.110149e+000	-1.928525e-001
5.011839305444270e-006	4.196417e-002	8.139380e+000	-1.929431e-001
5.011902596315775e-006	3.117656e-002	8.167562e+000	-1.930300e-001
5.011968392384579e-006	2.385209e-002	8.196935e+000	-1.931203e-001
5.012036585992414e-006	1.901906e-002	8.227376e+000	-1.932139e-001
5.012107104906647e-006	1.584462e-002	8.258798e+000	-1.933107e-001
5.012185593121250e-006	1.367975e-002	8.293660e+000	-1.934185e-001
5.012267670640262e-006	1.230296e-002	8.329960e+000	-1.935312e-001
5.012366950378178e-006	1.132751e-002	8.373632e+000	-1.936676e-001
5.012473712353947e-006	1.070305e-002	8.420280e+000	-1.938142e-001
5.012616743613683e-006	1.019453e-002	8.482265e+000	-1.940106e-001
5.012777153671126e-006	9.811244e-003	8.551030e+000	-1.942309e-001
5.013029787703676e-006	9.360822e-003	8.657820e+000	-1.945778e-001
5.013325844397521e-006	8.958786e-003	8.780317e+000	-1.949843e-001
5.013917957785211e-006	8.334691e-003	9.018259e+000	-1.957973e-001
5.014551074950800e-006	7.905645e-003	9.262657e+000	-1.966664e-001
5.015480457936685e-006	7.413313e-003	9.603249e+000	-1.979421e-001
