Freq.	V(Vout+,Vout-)*45
3.94154154154151e+004	(4.07137002043276e+000dB,1.19842149196405e+002°)
3.95315315315312e+004	(4.12703867135283e+000dB,1.19681341450607e+002°)
3.96476476476473e+004	(4.18263339714239e+000dB,1.19520373541833e+002°)
3.97637637637634e+004	(4.23815541483151e+000dB,1.19359241033409e+002°)
3.98798798798796e+004	(4.29360593307559e+000dB,1.19197939449428e+002°)
3.99959959959957e+004	(4.34898615222299e+000dB,1.19036464274306e+002°)
4.01121121121118e+004	(4.40429726438059e+000dB,1.18874810952312e+002°)
4.02282282282279e+004	(4.45954045347702e+000dB,1.18712974887107e+002°)
4.03443443443440e+004	(4.51471689532389e+000dB,1.18550951441262e+002°)
4.04604604604601e+004	(4.56982775767467e+000dB,1.18388735935782e+002°)
4.05765765765762e+004	(4.62487420028148e+000dB,1.18226323649612e+002°)
4.06926926926924e+004	(4.67985737494964e+000dB,1.18063709819142e+002°)
4.08088088088085e+004	(4.73477842559004e+000dB,1.17900889637701e+002°)
4.09249249249246e+004	(4.78963848826932e+000dB,1.17737858255049e+002°)
4.10410410410407e+004	(4.84443869125774e+000dB,1.17574610776852e+002°)
4.11571571571568e+004	(4.89918015507491e+000dB,1.17411142264162e+002°)
4.12732732732729e+004	(4.95386399253328e+000dB,1.17247447732878e+002°)
4.13893893893890e+004	(5.00849130877928e+000dB,1.17083522153205e+002°)
4.15055055055052e+004	(5.06306320133228e+000dB,1.16919360449105e+002°)
4.16216216216213e+004	(5.11758076012127e+000dB,1.16754957497739e+002°)
4.17377377377374e+004	(5.17204506751916e+000dB,1.16590308128901e+002°)
4.18538538538535e+004	(5.22645719837485e+000dB,1.16425407124446e+002°)
4.19699699699696e+004	(5.28081822004290e+000dB,1.16260249217706e+002°)
4.20860860860857e+004	(5.33512919241091e+000dB,1.16094829092902e+002°)
4.22022022022018e+004	(5.38939116792445e+000dB,1.15929141384549e+002°)
4.23183183183180e+004	(5.44360519160966e+000dB,1.15763180676841e+002°)
4.24344344344341e+004	(5.49777230109340e+000dB,1.15596941503049e+002°)
4.25505505505502e+004	(5.55189352662092e+000dB,1.15430418344888e+002°)
4.26666666666663e+004	(5.60596989107114e+000dB,1.15263605631890e+002°)
4.27827827827824e+004	(5.66000240996938e+000dB,1.15096497740768e+002°)
4.28988988988985e+004	(5.71399209149754e+000dB,1.14929088994759e+002°)
4.30150150150146e+004	(5.76793993650179e+000dB,1.14761373662975e+002°)
4.31311311311308e+004	(5.82184693849764e+000dB,1.14593345959737e+002°)
4.32472472472469e+004	(5.87571408367237e+000dB,1.14425000043895e+002°)
4.33633633633630e+004	(5.92954235088484e+000dB,1.14256330018152e+002°)
4.34794794794791e+004	(5.98333271166262e+000dB,1.14087329928368e+002°)
4.35955955955952e+004	(6.03708613019633e+000dB,1.13917993762861e+002°)
4.37117117117113e+004	(6.09080356333133e+000dB,1.13748315451698e+002°)
4.38278278278274e+004	(6.14448596055648e+000dB,1.13578288865974e+002°)
4.39439439439436e+004	(6.19813426399018e+000dB,1.13407907817090e+002°)
4.40600600600597e+004	(6.25174940836342e+000dB,1.13237166056010e+002°)
4.41761761761758e+004	(6.30533232099996e+000dB,1.13066057272517e+002°)
4.42922922922919e+004	(6.35888392179356e+000dB,1.12894575094464e+002°)
4.44084084084080e+004	(6.41240512318209e+000dB,1.12722713087002e+002°)
4.45245245245241e+004	(6.46589683011867e+000dB,1.12550464751812e+002°)
4.46406406406402e+004	(6.51935994003966e+000dB,1.12377823526322e+002°)
4.47567567567564e+004	(6.57279534282941e+000dB,1.12204782782913e+002°)
4.48728728728725e+004	(6.62620392078192e+000dB,1.12031335828123e+002°)
4.49889889889886e+004	(6.67958654855906e+000dB,1.11857475901832e+002°)
4.51051051051047e+004	(6.73294409314556e+000dB,1.11683196176445e+002°)
4.52212212212208e+004	(6.78627741380057e+000dB,1.11508489756066e+002°)
4.53373373373369e+004	(6.83958736200578e+000dB,1.11333349675654e+002°)
4.54534534534530e+004	(6.89287478140990e+000dB,1.11157768900183e+002°)
4.55695695695692e+004	(6.94614050776973e+000dB,1.10981740323781e+002°)
