Freq.	V(Vout+,Vout-)
Step Information: Rl=4  (Run: 1/7)
1.62862862862862e+005	(-9.46579225336126e+000dB,-5.37970821992293e+001°)
1.63063063063062e+005	(-9.79517822862968e+000dB,-5.47898507554714e+001°)
1.63263263263262e+005	(-1.01180974105053e+001dB,-5.57276244970511e+001°)
1.63463463463463e+005	(-1.04346591378754e+001dB,-5.66146122737064e+001°)
1.63663663663663e+005	(-1.07449900810769e+001dB,-5.74546425114610e+001°)
1.63863863863863e+005	(-1.10492293444836e+001dB,-5.82511992464374e+001°)
1.64064064064063e+005	(-1.13475245648540e+001dB,-5.90074552469726e+001°)
1.64264264264263e+005	(-1.16400288164883e+001dB,-5.97263022336657e+001°)
1.64464464464464e+005	(-1.19268981686945e+001dB,-6.04103783004571e+001°)
1.64664664664664e+005	(-1.22082897696835e+001dB,-6.10620926954695e+001°)
1.64864864864864e+005	(-1.24843603546064e+001dB,-6.16836481499952e+001°)
1.65065065065064e+005	(-1.27552650947664e+001dB,-6.22770609562199e+001°)
1.65265265265264e+005	(-1.30211567208134e+001dB,-6.28441789950164e+001°)
1.65465465465465e+005	(-1.32821848655474e+001dB,-6.33866979086607e+001°)
1.65665665665665e+005	(-1.35384955823708e+001dB,-6.39061756025096e+001°)
1.65865865865865e+005	(-1.37902310038614e+001dB,-6.44040452465421e+001°)
1.66066066066065e+005	(-1.40375291117700e+001dB,-6.48816269335295e+001°)
1.66266266266265e+005	(-1.42805235952726e+001dB,-6.53401381363398e+001°)
1.66466466466466e+005	(-1.45193437787788e+001dB,-6.57807030930467e+001°)
1.66666666666666e+005	(-1.47541146042138e+001dB,-6.62043612354403e+001°)
1.66866866866866e+005	(-1.49849566556223e+001dB,-6.66120747643975e+001°)
1.67067067067066e+005	(-1.52119862163046e+001dB,-6.70047354644435e+001°)
1.67267267267266e+005	(-1.54353153506205e+001dB,-6.73831708397459e+001°)
1.67467467467466e+005	(-1.56550520041398e+001dB,-6.77481496446752e+001°)
1.67667667667667e+005	(-1.58713001170845e+001dB,-6.81003868739182e+001°)
1.67867867867867e+005	(-1.60841597470183e+001dB,-6.84405482698463e+001°)
1.68068068068067e+005	(-1.62937271975689e+001dB,-6.87692543983620e+001°)
1.68268268268267e+005	(-1.65000951506330e+001dB,-6.90870843386960e+001°)
1.68468468468467e+005	(-1.67033528000570e+001dB,-6.93945790275277e+001°)
